Comment,Designator,Footprint,LCSC Part #
CR-2032,BT1,BAT-HLD-001:BAT-HLD-001,C7501066
100n,C1,C-0402:C-0402,C0402C104K4RACTU
100n,C2,C-0402:C-0402,C0402C105K4RACTU
100n,C3,C-0402:C-0402,
10u,C4,C-0402:C-0402,
LED,D1,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D2,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D3,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D4,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D5,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D6,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D7,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D8,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D9,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D10,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D11,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D12,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D13,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D14,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D15,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D16,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D17,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D18,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D19,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D20,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D21,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D22,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D23,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D24,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D25,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D26,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D27,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D28,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D29,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D30,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D31,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D32,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D33,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D34,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D35,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D36,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D37,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D38,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D39,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D40,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D41,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D42,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D43,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D44,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D45,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D46,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D47,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D48,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D49,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D50,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D51,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D52,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D53,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D54,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D55,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D56,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D57,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D58,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D59,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D60,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D61,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D62,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D63,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D64,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D65,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D66,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D67,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D68,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D69,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D70,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D71,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D72,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D73,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D74,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D75,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D76,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D77,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D78,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D79,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D80,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D81,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D82,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D83,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D84,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D85,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D86,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D87,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D88,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D89,BL-HUB37A-AV-TRB:D-0402,C104273
LED,D90,BL-HUB37A-AV-TRB:D-0402,C104273
10k,R1,R-0402:R-0402,
10k,R2,R-0402:R-0402,
10k,R3,R-0402:R-0402,C25744
STM8L151xxx,U1,STM8L15xxx:UFQFPN28,C63445
SC7A20HTR,U2,SC7A20HTR:SC7A20HTR,
DRV5032,U3,DRV5032:DRV5032,
